nama_obat,harga,deskripsi,aturan_pakai,stok
Loprolol,38000,"Obat golongan beta blocker yang digunakan untuk mengobati hipertensi (tekanan darah tinggi), angina (nyeri dada), serta untuk mencegah serangan jantung.","Biasanya diminum sekali atau dua kali sehari, dengan atau tanpa makanan. Dosis harus disesuaikan sesuai instruksi dokter.",10
Amlodipine 10 mg,53999,Obat golongan calcium channel blocker yang digunakan untuk mengatasi hipertensi dan angina.,"Diminum sekali sehari, dengan atau tanpa makanan. Dosis 10 mg biasanya merupakan dosis maksimum harian.",8
Lisinopril,30000,Obat golongan ACE inhibitor yang digunakan untuk mengobati hipertensi dan gagal jantung.,"Diminum sekali sehari, dengan atau tanpa makanan. Dosis awal biasanya 10 mg per hari, tetapi dapat disesuaikan oleh dokter.",6
Atorvastatin,70000,"Obat statin yang digunakan untuk menurunkan kadar kolesterol dalam darah, mengurangi risiko penyakit jantung.","Diminum sekali sehari, dengan atau tanpa makanan. Waktu konsumsi yang konsisten setiap hari dianjurkan.",14
Furosemide,20000,Obat diuretik yang digunakan untuk mengobati edema (penumpukan cairan) dan hipertensi.,Dosis dan frekuensi penggunaan bervariasi tergantung kondisi medis. Biasanya diminum sekali atau dua kali sehari.,2
Clopidogrel,28000,Obat antiplatelet yang digunakan untuk mencegah pembekuan darah dan mengurangi risiko stroke serta serangan jantung.,"Diminum sekali sehari, dengan atau tanpa makanan. Ikuti instruksi dokter mengenai dosis.",11
Losartan,17000,Obat golongan ARB (angiotensin II receptor blocker) yang digunakan untuk mengobati hipertensi dan gagal jantung.,"Diminum sekali atau dua kali sehari, sesuai petunjuk dokter. Dapat diminum dengan atau tanpa makanan.",6
Nitroglycerin,27000,Obat yang digunakan untuk mengatasi angina (nyeri dada) dan mengurangi tekanan darah.,"Tersedia dalam berbagai bentuk (tablet sublingual, patch, spray). Penggunaan dan dosis harus sesuai instruksi dokter.",19
Digoxin,5000,Obat yang digunakan untuk mengobati gagal jantung dan gangguan irama jantung.,Diminum sekali sehari. Dosis harus disesuaikan oleh dokter berdasarkan kondisi pasien.​,21
Warfarin,12000,"Obat pengencer darah yang digunakan untuk mencegah pembekuan darah, stroke, dan emboli.","Diminum sekali sehari, pada waktu yang sama setiap hari. Pemantauan rutin kadar INR diperlukan untuk menyesuaikan dosis.",10
Carvedilol,20000,Obat beta blocker yang digunakan untuk mengobati hipertensi dan gagal jantung kongestif.,"Diminum dua kali sehari, biasanya dengan makanan. Dosis awal biasanya rendah dan ditingkatkan secara bertahap.",10
Spironolactone,10000,"Obat diuretik yang digunakan untuk mengobati edema, hipertensi, dan gagal jantung kongestif.","Diminum sekali atau dua kali sehari, sesuai petunjuk dokter. Dapat diminum dengan atau tanpa makanan.",9
Diltiazem,3000,Obat calcium channel blocker yang digunakan untuk mengobati hipertensi dan angina.,Tersedia dalam bentuk sediaan dengan pelepasan berbeda. Ikuti instruksi dokter mengenai dosis dan frekuensi penggunaan.​,11
Enalapril,36000,Obat ACE inhibitor yang digunakan untuk mengobati hipertensi dan gagal jantung.,"Diminum sekali atau dua kali sehari, dengan atau tanpa makanan. Dosis awal biasanya 5 mg per hari.",16
